"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Kris Bryant","Cubs","157","658","553","154","31","3","33","104","95","86","147","13","9","5",".278",".385",".529",".914",".385","2.6","2.2","5.9","15.1","15429"
"Nolan Arenado","Rockies","153","644","578","171","38","5","39","97","118","55","101","4","3","3",".296",".357",".580",".937",".385","9.2","-0.7","5.0","4.8","9777"
"Josh Donaldson","Blue Jays","153","644","543","148","30","2","36","98","102","88","134","7","4","2",".273",".377",".534",".912",".384","6.0","0.2","6.2","29.9","5038"
"Justin Turner","Dodgers","142","595","519","151","33","1","22","77","84","55","84","14","6","2",".292",".371",".485",".856",".364","4.0","-0.1","4.6","82.5","5235"
"Anthony Rendon","Nationals","147","616","530","148","35","2","22","85","86","73","100","7","8","4",".280",".370",".478",".849",".361","7.4","0.6","4.6","56.8","12861"
"Manny Machado","Orioles","153","644","583","166","33","1","34","91","99","51","105","3","8","4",".284",".342",".521",".863",".361","5.6","-0.8","5.3","17.8","11493"
"Matt Carpenter","Cardinals","150","630","520","136","33","3","21","90","73","95","131","7","3","3",".261",".380",".455",".835",".359","0.3","-0.4","3.0","184.9","8090"
"Jose Ramirez","Indians","153","644","581","173","43","4","21","92","84","52","67","3","20","8",".298",".356",".493",".849",".359","4.8","1.4","4.8","19.6","13510"
"Miguel Sano","Twins","142","595","516","129","24","2","34","84","97","71","204","4","1","0",".250",".342",".503",".845",".355","-1.7","-1.4","3.3","111.5","12164"
"Joey Gallo","Rangers","152","637","541","119","21","3","42","92","100","86","236","6","7","3",".220",".332",".507",".839",".352","0.6","1.5","2.5","111.1","14128"
"Nick Castellanos","Tigers","150","630","577","161","35","7","26","73","92","42","142","4","4","4",".279",".329",".500",".830",".348","-7.1","-1.9","1.8","98.7","11737"
"Jake Lamb","Diamondbacks","152","637","550","139","31","6","27","83","95","76","162","5","6","4",".253",".347",".477",".824",".346","-4.8","0.5","2.4","126.1","13329"
"Adrian Beltre","Rangers","145","609","547","155","28","2","23","75","92","51","79","6","2","1",".283",".347",".468",".815",".346","7.6","-1.2","3.6","158.2","639"
"Alex Bregman","Astros","150","630","562","154","34","5","22","88","82","55","98","6","14","6",".274",".342",".466",".809",".344","0.3","0.1","3.8","32.0","17678"
"Kyle Seager","Mariners","152","637","566","151","32","2","28","79","92","59","106","7","3","2",".267",".340",".476",".816",".343","2.4","-1.1","3.9","139.5","9785"
"Rafael Devers","Red Sox","137","574","528","148","32","3","23","74","81","40","127","2","7","5",".279",".331",".485",".815",".343","-2.3","-0.7","2.6","119.1","17350"
"Mike Moustakas","Royals","142","595","542","145","28","1","30","73","85","40","90","6","1","1",".268",".323",".490",".812",".340","-0.3","-1.8","2.7","130.1","4892"
"Eugenio Suarez","Reds","148","623","544","138","26","2","24","78","80","65","149","8","7","5",".254",".340",".447",".787",".338","1.6","-0.9","2.7","191.7","12552"
"Jedd Gyorko","Cardinals","142","597","536","138","23","2","27","67","88","52","129","3","4","3",".258",".325",".457",".782",".332","1.9","-1.1","2.6","352.3","10816"
"Travis Shaw","Brewers","147","616","551","139","30","2","28","77","89","55","144","5","7","2",".253",".323",".463",".786",".332","-0.4","-0.4","2.1","92.4","11982"
"Maikel Franco","Phillies","137","574","527","140","29","2","25","68","86","39","91","4","1","0",".265",".318",".470",".788",".332","-4.6","-0.6","1.7","235.5","12179"
"Yangervis Solarte","Blue Jays","58","245","222","60","13","1","8","28","34","18","30","2","1","0",".272",".331",".444",".776",".330","-1.6","-0.4","0.9","276.2","5352"
"Wilmer Flores","Mets","90","376","349","94","18","1","17","44","55","20","55","3","1","1",".271",".313",".470",".783",".330","-1.3","-0.8","1.0","351.6","5827"
"Evan Longoria","Giants","150","630","575","156","36","3","22","72","85","43","112","4","3","2",".271",".323",".458",".781",".329","2.2","-0.2","2.8","203.2","9368"
"Yandy Diaz","Indians","33","140","121","34","5","1","2","16","12","16","26","1","1","1",".280",".366",".376",".743",".328","0.0","-0.1","0.5","516.4","16578"
"Todd Frazier","Mets","137","574","501","118","23","1","26","70","81","60","127","8","8","5",".235",".324",".443",".767",".327","2.3","-0.6","2.5","284.3","785"
"Derek Dietrich","Marlins","124","519","452","113","23","5","15","59","57","40","114","22","1","1",".249",".337",".423",".760",".327","-4.3","-0.1","0.9","487.8","10542"
